Quarter,NSW,ACT,VIC,QLD,SA,NT,WA,TAS
Sep-05,1890,57,1261,1332,507,26,316,133
Dec-05,1717,58,1082,1186,461,35,362,125
Mar-06,1980,68,1396,1466,559,24,387,166
Jun-06,1905,75,1284,1389,521,32,350,149
Sep-06,2153,72,1387,1394,521,27,383,139
Dec-06,2244,58,1383,1352,496,24,312,147
Mar-07,2404,49,1491,1521,568,25,356,171
Jun-07,2448,49,1463,1474,565,42,340,191
Sep-07,2384,43,1486,1357,511,27,320,202
Dec-07,2392,63,1378,1405,489,33,332,175
Mar-08,2382,63,1321,1415,537,31,396,161
Jun-08,2781,44,1548,1508,550,38,375,214
Sep-08,2646,55,1434,1433,521,23,387,194
Dec-08,2577,53,1461,1460,457,31,400,210
Mar-09,2742,73,1527,1662,483,25,435,217
Jun-09,2532,66,1562,1688,483,24,438,221
Sep-09,2671,62,1580,1708,513,36,532,227
Dec-09,2451,61,1314,1800,452,41,476,175
Mar-10,2232,64,1391,1702,489,37,467,186
Jun-10,2408,62,1433,1802,487,37,411,202
Sep-10,2332,54,1274,1549,418,22,431,180
Dec-10,1985,58,1081,1676,392,39,400,178
Mar-11,1861,40,1020,1434,415,32,434,186
Jun-11,1937,43,1125,1508,364,21,435,169
Sep-11,1951,46,1125,1528,392,17,435,183
Dec-11,1950,48,1067,1538,388,25,391,166
Mar-12,1895,46,1039,1622,375,22,378,173
Jun-12,1831,32,1018,1563,368,16,363,172
Sep-12,1880,45,1147,1608,414,28,410,159
Dec-12,1732,42,1044,1542,350,28,384,137
Mar-13,1553,59,934,1411,332,23,322,140
Jun-13,1634,60,1055,1491,397,23,353,139
Sep-13,1667,45,1018,1403,295,18,391,131
Dec-13,1582,48,1043,1351,325,29,327,139
Mar-14,1604,39,1015,1443,322,19,351,139
Jun-14,1245,52,778,1159,246,22,255,100
Sep-14,1428,39,891,1245,296,31,332,128
Dec-14,1342,38,883,1174,287,24,331,100
Mar-15,1323,49,937,1283,294,29,342,122
Jun-15,1245,56,841,1284,294,21,366,108
Sep-15,1294,48,929,1295,280,27,408,105
Dec-15,1232,33,845,1235,300,30,383,123
Mar-16,1149,41,840,1278,286,20,409,100
Jun-16,1296,44,864,1392,298,23,482,113
Sep-16,1185,50,818,1272,267,35,479,125
Dec-16,1078,50,823,1190,277,27,443,88
Mar-17,1127,58,836,1295,305,26,470,108
Jun-17,1081,39,765,1117,282,32,475,97
